contrato_id,Contrato,Órgão,orgao_curto,Município,Situação,Empresa,Período,Valor do Contrato,valor_contrato,data_inicio_txt,data_fim_txt,ano_inicio,ano_fim,dias_duracao,dias_ate_fim,tipo_contrato,objeto,n_municipios_contrato,flag_multimunicipal,flag_teste,flag_valor_zero,flag_andamento_vencido,status_prazo
1,AJ/CD/001/24 - ALEGRIA-ENTR ERS-315-INHACORÁ (INÍCIO TRAVESSIA MUNICIPAL ),DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Alegria, Inhacorá",Andamento,CARPENEDO & CIA LTDA,05/02/2024 a 08/08/2025,"R$ 10.251.197,57",10251197.57,05/02/2024,08/08/2025,2024,2025,550,-307,AJ/CD,ALEGRIA-ENTR ERS-315-INHACORÁ (INÍCIO TRAVESSIA MUNICIPAL ),2,True,False,False,True,Encerrado pela data
2,AJ/CD/004/19-ANO 3 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Itati, São Francisco de Paula, Terra de Areia",Concluída,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,02/06/2021 a 19/06/2022,"R$ 673.867,19",673867.19,02/06/2021,19/06/2022,2021,2022,382,-1453,AJ/CD,ANO 3 - Gestão ambiental da Rota do Sol.,3,True,False,False,False,Encerrado pela data
3,AJ/CD/004/19-ANO 4 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Itati, São Francisco de Paula, Terra de Areia",Concluída,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,19/06/2022 a 19/06/2023,"R$ 673.867,19",673867.19,19/06/2022,19/06/2023,2022,2023,365,-1088,AJ/CD,ANO 4 - Gestão ambiental da Rota do Sol.,3,True,False,False,False,Encerrado pela data
4,AJ/CD/004/19-ANO 5 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Itati, São Francisco de Paula, Terra de Areia",Concluída,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,19/06/2023 a 01/08/2024,"R$ 673.867,19",673867.19,19/06/2023,01/08/2024,2023,2024,409,-679,AJ/CD,ANO 5 - Gestão ambiental da Rota do Sol.,3,True,False,False,False,Encerrado pela data
5,AJ/CD/004/19-ANO 6 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Itati, São Francisco de Paula, Terra de Areia",Andamento,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,01/08/2024 a 17/03/2026,"R$ 737.356,26",737356.26,01/08/2024,17/03/2026,2024,2026,593,-86,AJ/CD,ANO 6 - Gestão ambiental da Rota do Sol.,3,True,False,False,True,Encerrado pela data
6,AJ/CD/004/24 - Licenciamento de software e a prestação de serviços - Software SIDER.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Porto Alegre,Andamento,Poligraph Sistemas e Representações Ltda,30/01/2024 a 31/01/2025,"R$ 40.091.509,39",40091509.39,30/01/2024,31/01/2025,2024,2025,367,-496,AJ/CD,Licenciamento de software e a prestação de serviços - Software SIDER.,1,False,False,False,True,Encerrado pela data
7,AJ/CD/006/20 - Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Porto Alegre,Andamento,Perkons S/A,29/04/2020 a 31/01/2025,"R$ 14.683.944,48",14683944.48,29/04/2020,31/01/2025,2020,2025,1738,-496,AJ/CD,Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos,1,False,False,False,True,Encerrado pela data
8,AJ/CD/007/20 - Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Porto Alegre,Andamento,Fiscaltech Tecnologia e Automação LTDA,12/05/2020 a 12/05/2022,"R$ 1.917.998,16",1917998.16,12/05/2020,12/05/2022,2020,2022,730,-1491,AJ/CD,Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos.,1,False,False,False,True,Encerrado pela data
9,"AJ/CD/026/24 - Instalação de placas de sinalização, na rodovia ERS-431, no km 22,62",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Bento Gonçalves,Andamento,SINAWAY COMÉRCIO DE SINALIZAÇÃO LTDA,25/06/2024 a 05/07/2024,"R$ 61.863,64",61863.64,25/06/2024,05/07/2024,2024,2024,10,-706,AJ/CD,"Instalação de placas de sinalização, na rodovia ERS-431, no km 22,62",1,False,False,False,True,Encerrado pela data
10,"AJ/CD/030/24 - Levantamentos de LVC com vídeo registro, IRI, ATR e deflexão com FWD nas rodovias pavimentadas do DAER.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Santa Maria,Paralisado,PAVESYS ENGENHARIA S/S,15/08/2024 a 13/08/2027,"R$ 3.174.232,66",3174232.66,15/08/2024,13/08/2027,2024,2027,1093,428,AJ/CD,"Levantamentos de LVC com vídeo registro, IRI, ATR e deflexão com FWD nas rodovias pavimentadas do DAER.",1,False,False,False,False,Vigente pela data
